Tweet;Tweet_Parsed;True_Label;Pred_Label
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;admin normal pakai baterai kapasitas turun;baterai negatif;baterai negatif
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera depannya jelek liat liat pengguna foto harus foto didepan cermin kamera;kamera negatif;kamera negatif
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦;meluncurkan peningkatan daya tahan baterai lebih besar sayangnya tidak berlaku pembaruan perangkat lunak;baterai positif;baterai positif
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;hasil kamera xiaomi note bisa adulah lebih baik;kamera positif;kamera positif
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;persahabatan lebih indah diabadikan kamera;kamera positif;kamera positif
Iphone 11 pun menarik;menarik;general positif;general positif
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;tidak murah layar besar harga wajar dibanding kesimpulan mahal;harga negatif,general positif;harga negatif,general positif
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;kemarin rilis mata langsung warnanya warna ungu tertarik berat produk mengeluarkan warna ungu alhamdulillah terwujud beli;general positif;general positif
Iphone 11 terbaik;terbaik;general positif;general positif
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;suka bodoh baterai kapasitas cepat sekali turun marah;baterai negatif;baterai negatif
